Indicator Name,Year,Angola,Arab World,Antigua and Barbuda,Bangladesh,Bahrain,Canada,Switzerland,China,Cote d'Ivoire,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Costa Rica,Cuba,Curacao,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan
Agricultural irrigated land (% of total agricultural land),2001,,,,,40.85801839,,,,,,,,,,,,25,,,,,7.623318386,8.902186879,,,,,,,,,,12.62533875,,0.32396348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.20730579,,,,,31.55080214,15.93987873,,7.142857143,32.61078074,,,9.53043801,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19863681,,,,,,,,,,,,,,,,2.209758075,2.069067283,,,,,,,,,,,,,,,,,,,4.922394678,0.588235294,,,,,,,,,,,,
Agricultural irrigated land (% of total agricultural land),2002,,,,,,,,,,,,,,,,,25,,,,,7.65478424,7.921272366,,,,,,8.584779706,,,,12.84883919,,0.32461145,,,,,,,,,,,,0.673479526,,,,,,,,,,,,,,,,,,,,,,,,31.53300842,,,,,30.90586146,,,7.317073171,32.52173913,,,9.53043801,,,,,,15.91684435,,,,,21,,,,,,0.172105263,0.334533795,,,,,,3.193505342,,,,48.91009652,,,,,,,,7.657657658,,,,,,,,3.293291942,2.052148386,,,0.685298027,,0.64,,,,,,,,,,,,,,3.352704515,0.594059406,,3.663398693,,,,,,,,,,
Agricultural irrigated land (% of total agricultural land),2003,,,,,,,,,,,,,,,,,23.37662338,0.460688798,,,,7.580887886,7.77412731,,,,,,9.268965517,,,,12.26974925,,0.381561047,,,,,,,,,,,,,,,,15.88705768,,,6.30632451,,12.28008179,,,,,,,2.540494459,,,,,,,,30.7335963,,,,,,18.33366875,,7.064676617,32.29571984,,,9.474169742,,,,,,,,,,,22.22222222,,,,,,,,,,,,,,,,,49.45442701,,,,,,,,7.884972171,,,,,,,,3.844594595,2.099622244,,,,,0.62557924,,,,2.271459313,,,,,,,,,,4.203935599,0.588235294,1.70805766,,,5,9.853036994,,,,,,,
Agricultural irrigated land (% of total agricultural land),2004,,,,51.34613322,,,,,,,,,,,,,21.79487179,,,,,7.709750567,8.944973107,,,,,,9.525707453,,,,11.74366207,,0.367058397,,,,,,,,,,,,,,,,,,,,,,,,,,0.93537415,,2.045020464,,,,,,,,31.63298683,,,,,,,,7.328833173,33.20939335,,,9.498607242,,,,,,,,,,0.057516998,21.42857143,,,,,,,,,,4.230769231,,,,,,,52.10153974,,,,,,,,,,,,,,,,2.314225053,2.097416427,,,,,0.690687234,,,,2.201920825,,,,,,,,,,2.171664943,0.609756098,,,,,10.3487954,,,,,,,
Agricultural irrigated land (% of total agricultural land),2005,,,,51.12232843,,1.370507331,,,,,,,,,,,20.95808383,0.47150318,,,,9.678611008,9.937939595,,,,,,10.02666667,,,,11.70964202,0.068034925,0.43731952,,,,,5.771952746,,,,,0.090762224,,,,,,16.61461587,,,,,,,,2.591428571,,,,1.280914208,,,,,,,,32.86921377,,,,,,17.73208469,,7.89733465,33.50393701,,,9.315960912,,,,,,,,,,,21.875,0.579150579,,,,,,,,4.799504567,4.150579151,,,,,,,52.77352982,,,,,,0.446372438,,,,11.87272646,,,,,,0.324400564,2.074369436,0.422115896,,,,0.763445761,,,,2.470047596,,,,,,,,,,1.339515714,0.392927308,1.525990254,,,,10.3124096,,,,,,,
Agricultural irrigated land (% of total agricultural land),2006,,,,52.61853448,,,,,,,,,,,,,21.01910828,,1.384397498,,,9.667896679,9.193214729,,,,,,10.22299839,,,,11.60311746,,0.393056489,,,,,,,,,3.971405878,0.149454587,,,,,,18.64428335,,,,,,,,,,0.325203252,,1.341366845,,,,,,,,33.81654864,,,,,35.67216981,,,8.251473477,33.32409863,,,9.308458592,,,,,,,,,,,22.34042553,0.529801325,,,,,,,,,5.410628019,24.63560335,,,,,,52.94036253,,,8.333333333,,,,,,,,,,,,,0.687370895,2.05719112,,,,,0.74204947,,,,2.670720684,,,0.735651682,,,,,,,1.289324394,0.610997963,,,,,10.10304821,,,,,,,
Agricultural irrigated land (% of total agricultural land),2007,,,,,,,,,,,,,,,,,20.24456522,0.556065282,,,,9.538114908,8.895324783,,,,,,10.75283324,,,,11.84830738,,0.512586595,,,,,5.175973512,,,,4.171632896,0.088195781,,0.669252468,,,,18.6766413,,,,,,,,,,0.382695507,,2.08179783,,,,,,,,34.93207883,,,,,30.01351091,18.82502471,,7.474307069,33.20203708,,,9.313423932,,,,,,13.12215221,,,,,22.82608696,0.700094607,,,,,0.170161253,0.328795119,,10.55160886,5.329457364,25.42006721,,4.431096022,,,,53.03640352,1.433820235,,8.227311281,,,0.465447023,,8.349206349,,15.94407963,,,,,,2.347762289,2.019372236,,,0.685763639,,,,,,2.014017562,,,0.732178343,,,,,,,1.295336788,0.803212851,1.735717261,,,,10.04533353,,,,,,,
Agricultural irrigated land (% of total agricultural land),2008,,,,,,,,,,,,,,,,,21.10726644,0.279985777,,,,9.52023988,8.852732582,,,,,,10.18132975,,,,11.93873925,,0.476255324,,,,,,,,,4.017501989,,,,,,,18.62348178,2.222222222,,,,,,,,,,,1.38238342,,,,,,,,34.65011098,,17.47027953,,,,,,9.542416452,32.48519763,,,9.305317324,,,,,,,,,,,23.07692308,0.533578657,,,,,,,,,,25.86705202,,,,,,54.62577521,1.435492553,,9.067443797,,,,,,,,,,,,,1.884993399,1.970820533,,,,,,,,,2.262626263,,,0.725385725,,,,,,,1.342281879,0.646663218,,,,,9.75679954,,,,,,,
Agricultural irrigated land (% of total agricultural land),2009,,,,,,,,,,,,,,,,,22.4137931,0.310220059,2.208930475,,,9.643128322,8.969545265,,,,,,12.63537906,,,,11.46585627,,0.441331999,,,,,,,,,,0.243695094,,,,,,18.22751323,,,,,,,,,,0.384733764,5.340439237,1.84610064,,,,,,,,35.34164871,,16.9801783,,,28.37734405,,,9.248780488,32.58553452,,,9.395043938,,,,,,,,,,,23.07692308,,,,,,0.196884564,,,,,26.40096618,,,,,,55.0500326,1.433948736,,9.396694215,,,,,,,,,,,,,2.173115043,,,,,,,,,,2.553294966,,,0.8823195,,,,,,70.21144279,1.03626943,0.639877144,,,,,8.90135174,,,,,,,
Agricultural irrigated land (% of total agricultural land),2010,,,,,,s,2.359211911,,,,,,,,,,21.83406114,0.539172285,,,,12.14775324,8.656654151,,,,,,12.56385291,,,,12.00217825,0.031618887,0.510046801,,,0.655351455,,5.474602697,,,,,0.241926938,,,,,,18.32020296,,,,,,,,,,1.087119508,,0.840351862,,,,,,,,34.49237914,,16.90137819,,,32.58671952,16.8274264,7.286968906,9.617878879,32.80839895,0.582514973,,9.404536417,,,,,,,,,,,21.97802198,,,,,,,,,7.31720344,4.334426881,29.73824527,,,,,,55.72895976,1.200146488,,9.107438017,,,0.318361132,,,,12.75255393,,,,,19.08957416,0.588443063,,,,,,,,,,1.382226197,,,0.709904589,,,,,,71.06002554,0.761042834,0.641169493,2.049647005,,,,9.641932701,,,,,,,
